Feature,Coefficient,Absolute
categorical__DeviceInfo_QTAIR7 Build/LMY47D,-70.69923798427835,70.69923798427835
numeric__V253,-70.69466567816318,70.69466567816318
categorical__P_emaildomain_sc.rr.com,-70.46582646489014,70.46582646489014
numeric__V212,69.93388221232094,69.93388221232094
categorical__id_33_2880x1620,-69.8584179951318,69.8584179951318
numeric__V317,-69.74643868766883,69.74643868766883
categorical__DeviceInfo_SAMSUNG SM-N920V Build/NRD90M,69.58645451329973,69.58645451329973
categorical__DeviceInfo_Pixel,-69.54534664165932,69.54534664165932
categorical__id_33_1400x1050,-69.4471561872684,69.4471561872684
categorical__DeviceInfo_SAMSUNG SM-G920A Build/NRD90M,-69.27298935541532,69.27298935541532
numeric__V320,69.17329680561053,69.17329680561053
categorical__DeviceInfo_SM-G925T Build/NRD90M,69.16758686214652,69.16758686214652
categorical__P_emaildomain_yahoo.co.uk,-68.65358267679676,68.65358267679676
categorical__id_33_2672x1440,-68.62171317362615,68.62171317362615
numeric__V129,68.60039036221453,68.60039036221453
categorical__id_33_1728x972,-68.54536993530883,68.54536993530883
categorical__id_33_2224x1668,-68.52049628159347,68.52049628159347
categorical__DeviceInfo_SM-J727V Build/NRD90M,68.51993564685294,68.51993564685294
categorical__DeviceInfo_E5606 Build/30.2.A.1.21,68.50007205734647,68.50007205734647
categorical__DeviceInfo_LG-H320 Build/LRX21Y,-68.05897697544737,68.05897697544737
categorical__DeviceInfo_LG-D331 Build/LRX22G,67.58299406435903,67.58299406435903
categorical__DeviceInfo_TA-1003,-67.54332365394468,67.54332365394468
categorical__DeviceInfo_MYA-L23,-67.4877288492101,67.4877288492101
categorical__R_emaildomain_yahoo.es,-67.31241217716888,67.31241217716888
categorical__id_31_Samsung/SM-G532M,-67.30741237436793,67.30741237436793
categorical__DeviceInfo_SM-S320VL,67.28365662801924,67.28365662801924
numeric__V105,-67.05040539068074,67.05040539068074
categorical__id_33_3200x2000,-66.96741153605937,66.96741153605937
categorical__DeviceInfo_HTC 10 Build/NRD90M,-66.85641305382319,66.85641305382319
categorical__DeviceInfo_MacOS,-66.62770253174267,66.62770253174267
categorical__id_33_1480x720,-66.60693202061137,66.60693202061137
categorical__P_emaildomain_roadrunner.com,-66.56878034530278,66.56878034530278
