Feature,Importance
categorical__id_30_iOS 11.1.2,3.428019402450787e-05
categorical__P_emaildomain_yahoo.com.mx,3.3865933495104406e-05
categorical__P_emaildomain_hotmail.fr,3.231151817826193e-05
numeric__V8,3.127476658494775e-05
categorical__DeviceInfo_SM-G610M Build/MMB29K,3.114269319849575e-05
categorical__DeviceInfo_SM-J700M Build/MMB29K,3.105468711676128e-05
categorical__DeviceInfo_VS995 Build/NRD90M,3.104688329250437e-05
categorical__id_30_Windows 8.1,3.057625759436753e-05
categorical__id_30_iOS 11.1.0,3.0284075016696756e-05
categorical__DeviceInfo_SM-J727U Build/NRD90M,2.9714197885756718e-05
categorical__R_emaildomain_hotmail.fr,2.828071449896088e-05
categorical__id_33_1136x640,2.81713208782097e-05
categorical__id_31_chrome 54.0 for android,2.788091017515604e-05
categorical__R_emaildomain_mail.com,2.7192083667528004e-05
categorical__id_33_1334x750,2.4585583969635316e-05
categorical__P_emaildomain_gmail,2.3064843154822753e-05
categorical__DeviceInfo_ALE-L23 Build/HuaweiALE-L23,2.2222237543527442e-05
categorical__DeviceInfo_MacOS,2.135786192815081e-05
numeric__V334,1.8262549872106018e-05
categorical__id_31_android webview 4.0,1.7682261204965925e-05
categorical__DeviceInfo_LGLS676 Build/MXB48T,1.7222932763514355e-05
categorical__DeviceInfo_Trident/7.0,1.533758841363853e-05
categorical__M7_T,1.4627028316170522e-05
categorical__P_emaildomain_att.net,1.2901533300621265e-05
numeric__V6,1.273277576674211e-05
numeric__V14,1.017962379987241e-05
categorical__P_emaildomain_comcast.net,5.816508620494331e-06
categorical__R_emaildomain_yahoo.com.mx,5.804637150691154e-06
categorical__M4_M1,2.4757710636057817e-06
categorical__DeviceInfo_R8106,0.0
categorical__DeviceInfo_QTAQZ3 Build/LMY47V,0.0
categorical__DeviceInfo_XT1650,0.0
categorical__DeviceInfo_LGLS991,0.0
categorical__DeviceInfo_Redmi 4X Build/N2G47H,0.0
categorical__DeviceInfo_RCT6303W87M7 Build/MRA58K,0.0
categorical__DeviceInfo_LG-K220 Build/MXB48T,0.0
categorical__DeviceInfo_Redmi 4A Build/MMB29M,0.0
categorical__DeviceInfo_LG-H810/H81021z,0.0
categorical__DeviceInfo_SAMSUNG,0.0
categorical__DeviceInfo_SAMSUNG SM-A300H Build/LRX22G,0.0
categorical__DeviceInfo_QTAIR7 Build/LMY47D,0.0
categorical__DeviceInfo_Pixel,0.0
categorical__DeviceInfo_Pixel XL Build/OPM1.171019.011,0.0
categorical__DeviceInfo_XT1650 Build/NCLS26.118-23-13-3,0.0
categorical__DeviceInfo_LG-K410 Build/LRX22G,0.0
categorical__DeviceInfo_Pixel Build/OPR3.170623.013,0.0
categorical__DeviceInfo_Pixel Build/OPM1.171019.011,0.0
categorical__DeviceInfo_LG-K428 Build/MMB29M,0.0
categorical__DeviceInfo_Z837VL,0.0
categorical__DeviceInfo_LG-K500 Build/MMB29M,0.0
categorical__DeviceInfo_LG-K530 Build/MMB29M,0.0
categorical__DeviceInfo_LG-K540 Build/MMB29M,0.0
categorical__DeviceInfo_LG-K580 Build/MRA58K,0.0
categorical__DeviceInfo_rv:56.0,0.0
categorical__DeviceInfo_Z970,0.0
categorical__DeviceInfo_Z971,0.0
categorical__DeviceInfo_Z981 Build/MMB29M,0.0
categorical__DeviceInfo_SAMSUNG SM-A520F Build/NRD90M,0.0
categorical__DeviceInfo_LG-K200 Build/MXB48T,0.0
categorical__DeviceInfo_SAMSUNG SM-G530H Build/LRX22G,0.0
categorical__DeviceInfo_SAMSUNG SM-G935A Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G935F Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G935T Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G950F Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G950U Build/NRD90M,0.0
categorical__DeviceInfo_XT1580,0.0
categorical__DeviceInfo_LG-H872 Build/NRD90U,0.0
categorical__DeviceInfo_SAMSUNG SM-G950U1 Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G955U Build/NRD90M,0.0
categorical__DeviceInfo_LG-H871,0.0
categorical__DeviceInfo_LG-H870 Build/NRD90U,0.0
categorical__DeviceInfo_SAMSUNG SM-J320F Build/LMY47V,0.0
categorical__DeviceInfo_SAMSUNG SM-J327T Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-J700M Build/MMB29K,0.0
categorical__DeviceInfo_SAMSUNG SM-J701M Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-J727T1 Build/NRD90M,0.0
categorical__DeviceInfo_XT1585 Build/NCK25.118-10.5,0.0
categorical__DeviceInfo_SAMSUNG SM-G930T Build/NRD90M,0.0
categorical__DeviceInfo_XT1635-01,0.0
categorical__DeviceInfo_SAMSUNG SM-G930P Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G531H Build/LMY48B,0.0
categorical__DeviceInfo_SAMSUNG SM-G532M Build/MMB29T,0.0
categorical__DeviceInfo_SAMSUNG SM-G550T1 Build/MMB29K,0.0
categorical__DeviceInfo_SAMSUNG SM-G610M Build/MMB29K,0.0
categorical__DeviceInfo_SAMSUNG SM-G890A Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G891A Build/NRD90M,0.0
categorical__DeviceInfo_LG-H990 Build/NRD90M,0.0
categorical__DeviceInfo_LG-H910 Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G892A Build/NRD90M,0.0
categorical__DeviceInfo_LG-H901,0.0
categorical__DeviceInfo_SAMSUNG SM-G900A Build/MMB29M,0.0
categorical__DeviceInfo_SAMSUNG SM-G920A Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G925T Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G930A Build/NRD90M,0.0
categorical__DeviceInfo_SAMSUNG SM-G930F Build/NRD90M,0.0
categorical__DeviceInfo_LG-LS777 Build/NRD90U,0.0
categorical__DeviceInfo_LG-M153 Build/MXB48T,0.0
categorical__DeviceInfo_PRA-LX3 Build/HUAWEIPRA-LX3,0.0
categorical__DeviceInfo_M4 SS4450 Build/MRA58K,0.0
categorical__DeviceInfo_M4 SS4453 Build/MMB29M,0.0
categorical__DeviceInfo_M4 SS4456 Build/LMY47V,0.0
categorical__DeviceInfo_M4 SS4457 Build/MRA58K,0.0
categorical__DeviceInfo_MDDRJS,0.0
categorical__DeviceInfo_MOT-A6020l37 Build/LMY47V,0.0
categorical__DeviceInfo_LG-X230 Build/MRA58K,0.0
categorical__DeviceInfo_moto,0.0
categorical__DeviceInfo_Moto,0.0
categorical__DeviceInfo_Moto C Build/NRD90M.063,0.0
categorical__DeviceInfo_LG-X180g Build/LMY47I,0.0
categorical__DeviceInfo_Moto C Plus Build/NRD90M.05.022,0.0
categorical__DeviceInfo_Moto E (4) Build/NMA26.42-19,0.0
categorical__DeviceInfo_Moto E (4) Build/NMA26.42-69,0.0
categorical__DeviceInfo_Moto E (4) Plus Build/NMA26.42-69,0.0
categorical__DeviceInfo_Moto G (4) Build/NPJ25.93-14.5,0.0
categorical__DeviceInfo_M4 SS4451 Build/LMY47D,0.0
categorical__DeviceInfo_LG-X240 Build/MRA58K,0.0
categorical__DeviceInfo_Moto G (4) Build/NPJ25.93-14.7,0.0
